comment,label,label_class
"You should try some of the Gardein products, they're frozen meat substitutes full of protein. Also any beans or nuts or granola with protein is good. I like to make protein shakes every morning with berries, almond milk, some ice, and tofu and it tastes so good, and you'll find so many recipes online for different ways to use tofu and make it taste so good!! Good luck trish love ya!!",1,0
That's awesome! ❤ I bet freelee respond 😏,1,0
"YES TRISH! This makes me so excited! Also for more protein, add beans to your diet! I like to eat them with rice and vegetables and I get enough protein from that!",1,0
"Trish please check out The Happy Pear, they've a cookbook and a YouTube channel. They do amazing vegan recipes and their book is a bestseller where I'm from!",1,0
Read some minimalist baker recipes and vegan junk food so you won't miss it,1,0
You can ask Starbucks to sub coconut or soy milk into anything so you can still order your fav drinks :),1,0
also anything at Starbucks is vegan just ask for soy milk or coconut milk if u want it sweeter,1,0
"You should try to purchase a vegetarian/vegan cookbook! There are really good ones out there. And make sure you don't only eat fruit because then you'll get sick of it so fast and always be hungry! You can still eat all your favorite foods, just the veggie version. Black bean or beet burgers are AMAZING. Gardein 'Chicken' products, like their orange chicken or teriyaki chicken are incredible. You can even eat like Taco Bell, just order beans instead of beef. It's way easier than most people think. For protein, just focus on things like mushrooms, chickpeas, beans, tofu, vegetables, etc.",1,0
You just put up a snapchat heating up pizza ?? Idiot,2,0
Pumpkin seeds have a crap ton of protein and there are also many alternatives!!,1,0
"Fries, grilled portabella mushroom (tastes weirdly like steak when seasoned with McCormick Montreal steak seasoning, which is also vegan), fried rice without the egg, vegetable/tofu eggrolls, superfoods veggie burger, veggie grill, smoothies, DATES (so good when blended and eaten with apple slices like a dipping sauce), Veggie Grill fake chicken sandwiches, Almond/coconut/soymilk vanilla lattes (depending on preference), coconut or soy milk caramel (but with no caramel drizzle)/strawberries&creme/vanilla bean/mocha frappuchinos from starbucks with no whipped cream, zucchini pasta, a bunch of different kinds of pasta and sauces, salads, tofu tacos with avacado, hummus and veggies, lots of types of dark chocolate, krinkle cute sea salt and cracked pepper Kettle chips, grilled veggies, sweet potato fries.... the list goes on!! If you're craving something, there surely is a vegan substitute out there. Good luck and with much love and positivity sent your way, Im rooting for you along with a bunch of your vegan fishie gang!!",1,0
"Sunflowers, brazil nuts, quinoa, and lentils!",1,0
Hopefully she doesn't get your channel deleted for this 😂,1,0
OMG TRISHA IM SO PROUD OF YOU😊😊,1,0
Can you show your before and after 😍 thanks❤️.,1,0
awaiting a response from freelee lol,1,0
Do vegans still engage in oral sex?,3,0
fuck your faes,5,1
go watch vegan gains video!!,1,0
You were just eating chips on your snap story....and they weren't vegan,2,0
These videos would be so much more useful if the camera were about 3 inches farther back. Ah well.,1,0
"Almost everyone is being so mean in these comments and I don't get it, I totally support you trish! I would recommend you checking out mommytang and high carb Hannah's videos as well because mommytang eats lots of greens and Hannah eats tons of starches and they eat very simple. I know you don't like lettuce so you could try putting a bunch of greens in a smoothie along with some bananas maybe to drown out the taste of the greens. Having 1 or 2 fruit monomeals is great too! Just don't starve yourself! Good luck:)",1,0
you should really talk to kallel. she has been a vegan for sooo many years.,1,0
You should also check out High Carb Hannah's channel. She has lost a lot of weight by going vegan (: she also have great tasty recipes!,1,0
"You can still get stuff at Starbucks they offer dairy alternatives. Also you need protein since you won't be getting it from meat and cheese; beans, legumes, nuts. If you make up some rice and beans and then toss it in a frying pan with some onion, carrots, a little garlic and soy sauce is my favourite way to eat beans. You also need green vegetables, there are all kinds of goodness in green vegetables that we all need. Kale and spinach are my favourites, and an easy quick thing to do is have smoothies for breakfast or lunch. I will take some water or some good juice and blend some spinach banana and frozen fruits and it's great on the go for a quick pick me up meal accompanied by a snack, lately I have been pairing it with watermelon.",1,0
Yay! I am so glad for you Trish!,1,0
An awesome vegan channel is thevegancorner they are all really amazing recipes theyre SOO GOOD they have all the food I never thought id be able to eat as a vegan.,1,0
check out high carb hannah!!!,1,0
Good For you trish,1,0
"YAY! Eat lots of carbs! Potatoes, rice, pasta! Check out ""stellathelight"" on youtube and instagram! She changed my life and does meal plans and is an amazing support system! Google lots about HCLFV (high carb low fat vegan). I'm so happy for you!",1,0
"I just watched her snapchat from minutes ago, she was eating chicken",2,0
freelee made me into veganism but now that you're trying to go vegan i feel like i wanna do that too :0 :),1,0
I can see Freelee smiling from here 😂😂😂😂😂,1,0
"to everyone in the comments sayin that carbs are bad. no.they arent. fruit and vegetables are carbs. starches like breads, rice, potatoes and pasta? those are not bad. they help to fill you up because simpler carbs like fruit and veg are burned super quickly. some people cant eat a ton of processed carbs but rice and potatoes to fill you up and lots of greens and veggies are good for weightloss. carb up girl! youll feel great! dont restrict yourself! eat kn abundance, you deserve to feed your body well!",1,0
"Holy shit haha I'm so happy to finally hear this!! Haha okay, so you are definitely off to a good start with the fruits and veg! I would recommend looking up ""Raw Vegan Not Gross"" for meal ideas. Some of her recipes are raw, some aren't, but they are all vegan. Definetly try eating more whole foods like beans, rice, lentils, fruits and veggies. The cleaner, the better. Smoothies are great for breakfast. There are loads of good green smoothies, and some super tasty fruit smoothies. There's loads of amazing junky food too, like cashew milk ice cream, mock meats, cheesecake, pizza, etc. but try to keep those to a minimum if you're worried about weight and skin. I'm a vegan who eats junk food all the time haha so my skin still breaks out. Maybe look into Lush's Dark Angel facial cleanser and tea tree toner to help with that. I've heard a lot of good things about that stuff. Anyway, good luck with veganism and holy shit, I really hope it sticks!!",1,0
pizza with no cheese is usually vegan! veggie sushi! fries! rice! hummus with your baby carrots! there are loads of nice filling things that aren't meat and fill you up xx,1,0
You can get a Starbucks coffee frap with COCONUT MILK! :),1,0
Lmao in your face all you freelee hating fishies!,1,0
niomi smart is vegan and she had some amazing meal ideas and is coming out with a new book called eat smart and she has some really good recipes on her channel. just thought I'd mention her if u were stuck for ideas,1,0
"There is vegan cheese you can have and the brand morning star has some great ""meatless meat"" options that are delicious",1,0
this video was so long ago tho,1,0
So early its kind of weird 😂 love you Trish,1,0
Eat broccoli. It has 3 times more protein than meat. Beans and nuts also have protein,1,0
You are stealing the animals food.,2,0
Beautiful Momma Fishyyyyyyyyyyyy,1,0
"Protein = Bean, Almond milk, etc oh btw you need to buy traditional yeast to not get sick if your going vegan! Good luck! (: xoxo",1,0
"Omg this makes me so happy! Good luck Trish, make sure you eat enough rice and pasta as well as the fruit and veg (beans and lentils are great for protein) and I take some b12 on the side which is really important. I'm really proud and don't be too hard on yourself if you accidentally eat something that's not fully vegan bc that's an easy mistake to make at first! I hope it works for you and that you stick with it 👌",1,0
"When I went vegan I ate the same kinds of food just vegan junk food (when i began, it's all a journey) and i lost 14lbs in 6 weeks and I was still eating loads. I educated myself and learnt more and my food has got so much better. I went from 15 stone (210lbs btw I'm 5ft6) I'm now down to 10 stone 4lbs. I don't diet I just eat when I'm hungry and my weight has stabilised and maybe I go down a little bit very slowly. I think if you want to carry on check out bitesizevegan channel for education as to why you should stay/ be vegan and she's lovely. ❤️",1,0
THIS IS GOING TO BE HARD ...... I WAS VEGETARIAN AND MY MKM SCREWED MY DOET GIVING ME HIDDEN MEAT IN MY MEALS 😐😐😐😠😠,1,0
Vegan gains brought me here :),1,0
McDonald's French fries are not vegan!! McDonald's doesn't carry any vegan products even if you wouldn't think there's animal products there is,1,0
"PLEASE TRISHA PLEASE DO NOT JUST EAT FRUIT!! DO NOT LISTEN TO THIS VEGAN FREELEE PSEUDO SCIENCE! YOU SHOULD EAT A NORMAL VEGAN DIET MEANING ANYTHING YOU WANT. I RECOMMEND EATING VEGAN JUNK FOOD TO START OFF BC IT IS LITERALLY SOOOOOO GOOD AND WAYYYY HEALTHIER THAN ANIMAL PRODUCT JUNK FOOD. THERE ARE SO SO MANY VEGAN OPTIONS YOU CAN EAT, NOT JUST FRUIT AND VEGETABLES.. PLEASE TRISH DO NOT JUST START EATING ONLY FRUIT AND DO NOT EAT HOW FREELEE EATS! IT'S BEEN PROVEN BY SCIENCE NUMEROUS TIMES THAT IF YOU EAT MORE CALORIES THAN YOU BURN YOU WILL GAIN WEIGHT. EAT HIGH CARB PLANT FOODS (RICE, LENTILS, OATS, PASTA ETC) TIL YOU ARE SATIATED, NOT STUFFED TO THE POINT OF VOMITING. THE WAY FREELEE EATS WORKS FOR HER, BUT IT HAS BEEN PROVEN TO NOT WORK FOR EVERYONE. SOME GREAT VEGAN CHANNELS TO WATCH ARE: UNNATURAL VEGAN THE VEGAN CHEETAH (HIS CHANNEL WILL BE BACK UP SOON I HOPE) THE VEGAN LASS HIGH CARB HANNAH SORRY FOR THE CAPS BUT I AM SO PROUD OF YOU TRISH FOR DOING THIS AND I JUST DONT WANT YOU TO DO SOME SHIT PSEUDO SCIENCE RESTRICTIVE FRUIT DIET BC OF FREELEE.",1,0
Yay!!!! I'm so proud of you!!! This is amazing!!!,1,0
girl go to whole foods the have so much vegan junk food I get all of my random junk food from there,1,0
"As a vegan, I don't recommend Freelee's diet, its pretty crazy, just eat normally minus animal products. I mean for those who love her diet, more power to you, but I have tried it and I hate it so you just have to find what works for you",1,0
Healthy fake meat,1,0
a good vegan snack is coconut bites they're at Sam's Club I ate the entire bag in 2 days sooooo good,1,0
Quinoa is really good and a good source of protein,1,0
OMGGGG IM SO HAPPY FOR U!! THIS IS SUCH A GOOD START,1,0
POTATOES CAN BE MADE / PUT WITH SO MANY DIFFERENT THINGS HONESTLY !!! YOU WILL NEVER GET TIRED OF POTATOES OH AND NOODLES !!,1,0
MommyTang is my fav! I get a lot of ideas from her.,1,0
You made this video forever ago dude I remember you wearing this look on snapchat. And when you tried the Burger King shit you said you had already failed at being vegan lol why you always lyinnnnn,2,0
why post this if you decided right after filimng to not even be vegan??? are you actually going to be vegan???,2,0
Stir Fry is my favorite vegan option. Super simple and really filling!,1,0
fuck i hate this bitch,5,1
I'm expecting a comment from freelee 😂😂😂😂,1,0
"Trisha I think it's so good that you are able to give a vegan lifestyle a try!! Just make sure you eat stuff like rice, beans etc... not just fruit. ALSO I would encourage you to look into more about veganism. Not necessarily watch slaughterhouse videos but educational video about why people chose to go vegan etc... Nonetheless I am still proud of you for giving it a try! You go girl. PS: even if you are not serious (as some people are suggesting in the comments) I think that it is good that you are at least spreading the message a little by making a video addressing veganism. Love you Trisha!! <3",1,0
"One of my favorite meals are rice, black beans and bananas 😍",1,0
Trish I think that you have what it takes to make Veganism sexy!! Proud of ya gurl!💅🏽💅🏽,1,0
"💗💗💗💗 you got this girl. Buy Daiya cheese, and buy Gardean meat,",1,0
So you're going vegan cause yourself self conscience about you body because that bully of a YouTuber freelee. Sorry trish not a good choice freelee is such a bully and it's so sick I never thought you would fall for it...,2,0
Freelee is an ADVOCATE for veganism. I think that is the word you meant. Love ya Trish!,1,0
Thats not being vegan... It's plant based. Veganism is for life. But at least you're trying,1,0
"Np, please DO watch these animal slaughter house videos. Shed some light into your world and what goes on behind out backs.",1,0
