comment,label
why does it feel like everyone on the internet has just forgot that trisha paytas came out as black once,NOT
the gender wage gap is about as real as the flying spaghetti monster anyone who believes in it cant understand how the statistic is calculated,NOT
marriage exists feminists im gonna pretend i didnt see that,NOT
maybe all transsexual woman should stop using transgender to define themself becaus our true specificity is transsexual few years ago i had big fight about those transsexual who wanted to exclude the ones who choose to keep there genitals and named them as transgender but this is not reality being transsexuals is about hormones and not surgery someone who remove the penis does not make this person a transsexual a man whitout a penis still is a man but named eunuch so to remove a sex genitals does not make a transsexual this is the fact and the truth it is only by the hormones that we become a woman and change our body from inside it is the hormones that grow breast and modify our shape so all of those who are on a therapy of hormones to change there gender become transsexuals there is no shame to use this word it doesnt make you a sexworking person using this definition if this is why you choose not to use the real definition transgender is a generic noun to put everything in it even the alien anybody who play with there look by fantasy or anybody who is delusionals about things related to the human state transsexual is a specific noun and only people on hormones can be name like that it exclude all the others and by the way things are going it is better transgender noun is harmfull for us by the way nonbinary and else has use this to put discord in the society by doing so they destroy all the sensibility build by the pioneer from the last  years or more this is what we can observe i am a transsexual woman when some people come to me and ask if i am a transgender i correct that for transsexual becaus this is what i am really and i do not want to be associated to all the crazy people clamed to be transgender them and me are not in the same side we must stop that nonsens,NOT
fuck off you beautiful human youre intelligent and your soul shines through i love the way you speak about people and issues you feel honest and genuine never stop being you,NOT
morning stars breakfast foods are so good try it,NOT
im here for the comments,NOT
i can already feel the backlash of this video,NOT
yes freelee i love this i love the positivity radiating from this video i am looking forward to the content that continues to educate people about how to last on this lifestyle,NOT
am happy for her finally ,NOT
she most likely pre recorded it and posted it when she felt most comfortable going on a planted based vegan diet bc on her snapchat today she bleached her roots and in this video she still has her roots nothing is wrong with pre recording and posting when feeling most comfortable stop hating on trish,NOT
i love how you look so happy in this video freelee ,NOT
her face looks paralyzed too much botox maybe,ABU
if you can try eating tons of veggies especially leafy greens because they have more protein than you would think,NOT
and just like that the pendulum swings facts are in again,NOT
smhgo compete with other boys so unfair,ABU
i call bullshit,ABU
 i had a heart attackwtf choose a different photo or something,NOT
of course they won they are boys with long hair if i were loosing against them id be pissed this is where the left goes off the rails and this is just the beginning they are cheating cheating,ABU
and also yaaaaaaaaaaaaaaaaasssss keep up the vegan diet pls ,NOT
thats amazing news,NOT
also this is further insensitive as fuck considering its the anniversary of matthew shepard being brutally murdered for being gay maybe you should keep your mouth shut about things you lnow are going to piss people off for a few days before blurting them out sit on them  think a bit before you gung ho it hurt peoples feelings and then in a few days time change your mind theres a humongous difference between being a fun loving troll and a hurtful piece of shit ,ABU
depends if you consider childrearing damaging to a womans life statisticians concerned with the wage gap will have you believe thats the case,NOT
its kind of suspicious that trisha also lost the footage and was that a freudian slip when she said maybe its for the best that the video got deleted i mean that the file got corrupted,NOT
honestly i think you and trish are very similar you both have strong personalities but inside youre both sweet and both are going through relationship troubles i think you two should give friendship another go and help eachother through this and you can help trish with her vegan transformation and she can help you with collabs she has so many subs and so do you but she could have a bigger voice for the vegan community i see a friendship blossoming already,NOT
isnt everyone trans now a days gender we dont use that word in our safe space it doesnt exist anymore i tell you,NOT
you still have to have a calorie deficit to lose weight eat until you feel satisfied not stuffed then you will lose weight you should try don lee farms vegan burgers they are delish p,NOT
thank you so much the world really needed this,NOT
i was waiting for this,NOT
trisha lmfao im going vegan for a week lol ok,NOT
trisha you should ask joey,NOT
i think if she started making vegan cooking videos and would show all the yummy vegan food there is and if she did loads of other vegan associated videos without targeting anyone i think alot more people would turn vegan i have been thinking about turning vegeterian i eat meat but since im only  and my whole family eats meat it wouldnt be that easy but i really hope that more people will turn vegan or even vegeterian,NOT
oh fuck i always said if trisha paytas goes vegan then i will welp,NOT
so women making less for the same job boils down to choices yet boys getting worse grades in the same class amounts to a rigged system you had a good point until you didnt,NOT
a wage gap is a preferable alternative to communism,NOT
i love trish but i dont think she can last two weeks maybe one,NOT
all you people dancing with joy that the wagegap does not exist and feminists are wrong should rethink this whole situation women dont talk about this because they want the same pay for the same job cause that has been already dealth with and i mean sane women not idiots featured in buzzfeed videos reading the scripts theyre given they just want equal treatment in the workplace that is the problem and the main reason why women are flagging up the disproportion in total earnings of men vs women the inequality exists because of women being expected to engage in the family life more than men that is one of the reasons imo its the biggest factor in todays society success is measured unfortunately but its the truth by how much money you make and how great of a professional career you have it applies to both genders women feel like they will have a tougher time with accomplishing that kind of success than men and it is rightly so most of us men and women want to have children one day but for women having children means that their professional career will take a hit just to make this a bit more real one of my friends asked her boss why her colleague was given a promotion although shes been working for the company for a longer time she left out the fact that hes not as good at his job and the fact that he is a man she didnt expect that would be the reason and the answer was well you have two children at a young age so we thought giving you more responsibility right now could be damaging to your private life fun fact  the guy also has two children at a very similar age of course my friend left that company thank god obviously that inequality is not mens or womens fault its how our society is built but we should look at possibilities of dealing with that problem as increasingly women are just giving up having children completely the ageing society is already a huge issue that is progressing something needs to be done and as of now there are many people  again both male and female  that are not even acknowledging that the problem exists wake up people i tried to stress that no one who is a sane human being is blaming men for this its not all of the men of this planet that should get together to fix this its a problem of the society as a whole and we should try to deal with it thats all,NOT
to be honest idk how you see her content as good she pretty much gives youtubers a bad name is she capable of telling the truth,NOT
i have to show this video to my libtard infested school,NOT
is this prefilmed,NOT
flax milk by the brand good karma,NOT
when trisha got rent due next week,NOT
just a very small point you shouldnt say point seventyseven it is actually point seven seven seventy is seven times ten point seven is seven tenths mathematics grammar nerd signing off,NOT
trisha said shes a drag queen maybe instead shes interested in doing burlesque its all about being glamorous and putting on a show except youre not in drag i think trisha just has some internal issues she needs to work on i cant say i think shes trans,NOT
waiting for freelee to make a video about this,NOT
yay trisha sending encouraging positive vibes,NOT
you only are using trisha for u content your sad and just need views you thirsty and its so sad,NOT
thank you we needed this video a long time ago,NOT
this s so true,NOT
i was about to say i couldnt take more than  minutes of listening to this until i checked and it was only  minutes in,NOT
this is cheating boys compete with boys sorry,ABU
so now that shes not in the news for exposing the vlog squad now shes moving on to offending the whole lgbtq community she really wants her name in the news doesnt she she really trying the most ,NOT
yes pls do a new what i eat in a day pls,NOT
i think everyone thinks being a vegan is totally strange and people think all u eat are fruits and veggies  which is true but all u literally have to do is swap your usual habits to countless many vegan options  for example you still can have all ur fav junk food baked goods and as well as burgers and such ,NOT
yes trisha slay girl,NOT
sooo the wage gap is only a thing because women generally work less why was this even an issue then,NOT
make sure you eat enough calories,NOT
nope unfair step down transgenders challenge other transgenders done,ABU
so why dont companies only hire women,NOT
you aint a man you a toad,NOT
why is it necessary to explain the obvious its sad that people are so ignorant not to figure it alone,NOT
do they have an unfair advantage  um yes the fact that theyre men lol,ABU
have you lost your mind,NOT
women want the world to change to be easier and more flexible for them while men go and do their job no matter how hard it is this is the attitude that is earning you less money,NOT
my female teacher told me that all female teachers had to sign a contract that included not asking male colleagues about their pay,NOT
lol stolen valour transgender edition,NOT
i support them as being transgender bc it can be hard but it is not far for them to compete with the girls cuz i watched the rd place girls interview and she was devastated and she made valid points and also it is so obvious their guys so common sense would tell u maybe something is off u know i want to hear yalls thoughts bc this is a touchy subject,ABU
guys hear that shes gender fluid too ,NOT
funfact there is no such thing as masculine or feminine energy,NOT
if i ever get arrested i am identified as a woman  jail here i come,NOT
they should let them run but not count there stats,NOT
i actually took the time to read the georgetown university study and can confirm that the data presented in this video is  accurate to explain the  difference  men are more willing to work overtime  women take more time off maternity leave  women are less likely to ask for a raise  other variables,NOT
ok finally nice video but stillwhy women wont chose a higher paid jobs instead ofsocial work psychology education hmmmm,NOT
youre not trans honey youre just a tomboy continuing to just prefer man things over women things and thats fine im the same way as that but i still see myself as a female i just agree that i get on better with male stereotypical things but it doesnt mean you have to say youre transgender,NOT
i was very pleased to see that the documentary has chinese subtitles available it seems to me that it is essencial to disseminate information and seek ways to prevent the expansion of meat consumption in china as the country is very populous and meat industries are increasingly seeking to expand this promising market ill watch it today thanks,NOT
this world will never be vegan but enjoy your life in a cult,NOT
vegans suck dogs balls i hate vegans more than road cyclists in peak hour traffic,ABU
why is this  years old and im only seeing it now and its from vox which ought to be quoted by at least half of news feeds,NOT
so yes there is a wage gap and everybody in disagreement with you only read the title and got right own into the comment section and made some edgy joke about feminism and moved on,NOT
it is naive to think that simply by going vegan will resolve our environmental issues yes it could end animal factory farming but the multinationals will move on to cutting down forests creating gmos and decimating the earth the conversation must include limiting the power of corporationsbut they have the power of american law the presidency and advanced propaganda media at their disposal there is great suffering for mankind ahead only then will we have the will to changegoing vegan anyway,NOT
eat nuts gurl almonds cashews walnuts macadamia nuts etc nuts are great protein and have amazing skin benefits also eat dates great for a raw food to add to any meal,NOT
why are you going directly vegan you should try being vegeterian and then slowly move into being vegan you cant go from binge eating fast food to becoming vegan,NOT
if you want to lose weight just go low fat no matter what you eat,NOT
so essentially men get paid more because they are more able to compete successfully for the difficult requirements of labor in different fields if we are to look to basic economics as a guide it would be more economical for men to specialize in these areas where they possess an advantage and for women to specialize in the areas where they possess an advantage considering the fact that what determines the specialization of the sexes are biological realities it is fairly irrational and uneconomical for women to desire to enter into the workforce in any economy that values efficiency of production,ABU
she should go hard on alot of fruit in the first couple weeks so she can really feel the big energy level increase compared to her previous diet,NOT
green beans peanut butter rice pasta grains nuts,NOT
woman have been asking for equal rights for years and we are supposed to believe that this doesnt place women again behind,NOT
this doesnt make any sense letting to grown men run against high school females thats fair our society is a joke and america needs to wake up,ABU
bean beans bean one of my favorite meals is bean burrito refried beans make sure you get low fat and some have lard read ingredients with tomato and avoca and oat meal with coconut sugar and fruit eat carbs dm me on insta at  for recipes,NOT
the one thing im confused about is that some days i really hate my body and want to not have boobs and be flat and have a penis and just be a guy but i know im not trans i do like being a girl but i also do want and like looking and acting more masculine and even have the features as a guy idk i wish i had a character making hud for me where i can just change my gender whenever i wanted  can some one help me explain how i feel,NOT
im so happy for you,NOT
its a myth if girls were truly paid less buisnesses would hire only women bc they would have to pay less,NOT
there is a form of drag that women do theres a word for it but i cant remember i love drag ijust do,NOT
take that dumb english teacher,NOT
youre going to need to eat some veggies girl i know ur against them but its very good for you you should add them in smoothies and juices so you cant barley even taste them,NOT
wanting to swap from looking like a male or female does not make you trans,NOT
also trisha you do realize that your body is not gonna change in  weeks its a longterm thing,NOT
so much for that right,NOT
do people understand that you can just be yourself and maybe that means u like to hang out with men more than women or you like to dress a certain way doesnt always have to mean youre transgender or some other label chill out,NOT
hey klaus and team outstanding thank you very much indeed keep up the amazing work,NOT
pls read this lol it may be helpful make sure you take vitamin b and get all the nutrients you need and youre probably gonna get cravings most people do at the beginning of their journey especially knowing you hehe so i recommend getting fake meat products such as gardein products theyre soooo yummy and make your cravings dissapear eat lots of beans and spinach and get yummy coconut milk ice cream or sorbet stuff its my favourite fucken thing and ugh just yummmmm and also its not an easy change its huge and takes commitment but if you stick with it you wonttttt regret it dont be afraid to eat a chicken nugget every once in a blue moon if thats what youre really craving cutting yourself off completely at all times especially when you first start out may just make you resent the vegan diet even morefor some people its better to just go cold turkeyor tofurkey in this caseand thats cool too youre still making a huge difference with this choice and im so happyyyy,NOT
these are not girls they are males their chromosomes confirmed that this is sexual perversion and these guys cant compete against males this is wrong and against all common sense and god,ABU
so essentially the gap does not exist thanks for a misleading video,NOT
omg trish whattt,NOT
my god the like to dislike ratio is actually insane,NOT
women are like  well why dont the men take care of the kids well if you let us take care of the kids you dont want us taking care of the kids ,NOT
wagegap statistics is what you get when you are a horrible scientist and dont know how to control for factors,NOT
i get what youre saying but i think the wage gap argument is meant to be broader than what you are talking about in the video the gap is not  cents big but there is still a gap i am not saying women and men have to do every occupation  but the choices women make in terms of going to lower paying jobs is partly due to some sexism in the workplace and society at large a women might want to go into aerospace engineering for example but if she is geared from a young age to play with dolls and take care of things she will slowly go into that career path also the idea of going into a field with mostly men will be daunting because their definitley still is sexism in the workplace guys can easily become friends with one another and move up while a girl in an office full of boys will probably have a hard time playing her chess moves and moving up it is all these little things the wage gap conversation is about its not only about the  cents argument because that is not correct but more so about the extra hurdles women face in the workplace combined this with that fact women have the abilty to get pregnant and deal wiht childcaring makes matters more complex and will affect thier pay,NOT
ive only been vegan for a few months but if you feel like your gonna cave because that can definitely happen starting out theres so many good vegan junk food options obviously not heathy but its good af if you feel like you might cave you could try the ben  jerrys dairy free ice cream literally tastes the same as regular oreos gardien vegan meats so good and even taco bell just replace meat for beans no cheese or sour cream and add guac or rice if you want hope this was helpful love your videos trish ,NOT
i really wish youtube had an i agree a  because the like just is not enough,NOT
ive been vegan for almost six years now i suggest to watch the slaughterhouse videoes anytime you crave meat until its just not food to you anymore it works a vegan diet can be very healthy but compassion is the best veganiser im really glad youre giving it a go and wish you the best veggie burgers are great rice beans spaghetti quinoa veggies seeds etc ,NOT
well now there is man are paid less than women,NOT
it says that you watched it ,NOT
it would just push me to run faster  what an ignorant reply this is totally unfair and they know it,NOT
another way to close the wage gap across the board is to have both parents take on a more equal share of domestic responsibilities,NOT
here are some more stats  according to the glassceiling index featured in economist magazine women on company boards in us during  are less than  and women in managerial positions in us are at about  according to an article in us news data approx  of american women were getting their mba in  having children does play a part for women as well as working round the clock for men but this paradigm is not healthy for all involved including the corporations who have a group of overly tired and stretched out employees on their payroll,NOT
chipotle has vegan options noodles and company and i live at whole foods they have everything you want in a vegan version that you could imagine these things can really help with starting out vegan,NOT
its like gold plated vs gold just because something is dressed up in gold doesnt mean its gold through and through they should be ashamed of themselves,ABU
they failed as parents,NOT
no it is what they did they entered the womens while biologically male cease,ABU
k but the wage gap doesnt exist first of all its illegal to have the wage gap going do to a law made in the s second of all if the wage gap did exist then only women would be working this information doesnt account for sick days or maternity leave just the raw income,NOT
the well being of the child the parents say how about getting your child mental health help because that kid is gonna grow up in sexual confusion for the rest of their life they will be messed up mentally and have a higher rate of depression and suicide rates as per medical stats,ABU
why do the vast majority of people who claim that the wage gap doesnt exist never show any evidence to back up their claims,NOT
if youre starting out make sure you eat enough calories eatdrink fruit smoothies in the morning then for lunch eat a high carb satisfying meal rice pasta beans potatoes dont starve yourself because then youll get discouraged and not do the vegan diet right do not starve yourself youre going to do great ,NOT
whats a crow mukbang,NOT
before you watch the video the wage gap doesnt exist,NOT
why should i care about people making the top  incomes in the united states,NOT
this is sick i cannot even believe thee young ladies have to suffer because two teenage boys are confused about their identities thus stealing there chances at obtaining scholarships this has got to stop and transgenders should start their own league,ABU
who else was shocked about trisha going vegan ,NOT
i was vegan for yrs but when my friend offer me a double whooper beef burger with lettuce and tomatoesi will never going back vegani was planning to make channel for diy bbq beefpork and chicken to add on sandwich burger,NOT
a lot less biased than i expected,NOT
i wanna sign the petition where is it,NOT
first one i watched and loved it my daughter and niece highly recommended your channel i subscribed within the first few minutes watching have a great day ,NOT
vegan doesnt mean healthy  sustainable  theres just a lil bit more to it  and yes iam whole foods plant based no processed foods  everyone needs to find his own way  theres no reason to force anyone into something being open for new things is key trying things out for ya health for mothernature for the animals getinspired,NOT
this is so great trish if you need any help or have questions let me know or check out some of my videos im a vegan actress model here in la ,NOT
sooo proud of you,NOT
i dont think she understands what vegan means,NOT
i love blaire,NOT
before the video start i just want to say that the wage gap is a lie and that feminism is retarded,NOT
can someone genuinely explain to me who this person is i guess im uncool or something but im seriously curious,NOT
delete this video,NOT
that was a good video,NOT
you can do this trish so happy for you and i love the i dont even know whats happening to me we all know that feeling lol xo,NOT
youre a idiot,ABU
ok so heres the translation shes fallen in love with her dancer cedric in an effort to pursue him shes saying shes a gay man just another facet of her mental demise ,NOT
youre a sexist,NOT
wtf when i was a kid i was called a tomboy i enjoyed more male things cars football preffered my hair short didnt wear feminine clothes hung out with boys more this is the s in the  i dont think im a boy im a female and its ok to be a girl and enjoy what were perceived as boy things,NOT
what do people miss about the gender pay gap that there isnt one,NOT
its so nice to see everyone being so supportive,NOT
why are transgenders being promoted so much because of another transgender michael michelle obama sports should have a transgender division let transgenders compete against other transgenders,NOT
hi freelee i have been vegetarian since i was eleven years old always with a keen disinterest in the taste of meat i recently decided i would go vegan and began exclusively eating a plant based diet but despite feeling good i found i was losing too much weight i wasnt big to begin with so the weight loss was dramatic ive turned back to dairy and eggs as a dense calorie source but id like to continue the transitionthough unsure how to expand my stomach enough to accommodate the volume of fruits and veg required to maintain a healthy weight i hoped you could address this in a future video also i struggle slightly with the idea of consuming as many calories as an obese person or person eating for two and not with the fear of gaining weight but with the knowledge that our planet has limited resources and in  billion if half of us are eating for two wouldnt that seem closer to  and a deeper strain on the enviroment any thought you have on this topic would be great thank you ,NOT
check out rawvanna or fully raw,NOT
black and transgender must be the mooooost difficult subject in confused america,NOT
wow long time not see you i came just for your new drama attention hahahahha and all i can say you look skinny,NOT
try the brand gardein and a strawberry  banana soy milk date smoothie this made my day im so proud of you trisha,NOT
im sorry but these are guys no matter how you put it they have a dick they are a guy these have a pussy they are a girl say a college recruiter is at a meet these two guys overshadow those girls that have worked to get to their level i think those guys should race as the gender god gave them,ABU
dont give up the bacon trish lol,NOT
nearly  years vegetarian and  years plant based no going back sadly though fukushima nuclear coverup is killing the planetnothing in the news about mass starvation of all life in the pacific ocean because of radioactive poisoning,NOT
you think this is a godd explanation but there is alot of info you leave oute that idont know  when you say men get  and wimmen get  but you need more info than that edjucation like you state  is this per houer or at the end of the year then if men work  houers in a set time and wimmen work  houers i that same set time is this gap not fair  now i dont know the stats but the fair way of paying someone is not by the houer but by the work so if men does more work in less time but work the same time as wimmen it is only logical that men gets more if they get more work done same if wimmen does more wokr is the same time that men do then wimmen must get more i wil only cal it equalety when someone can say that wimmen and men get the same kind of money for moving this bag of stuf from point a to point b no matter the time it takes you get a set amount of money when the work is done this is fair and until someone can say that men get more for the same job that took the same amount of time if they then get more then the system is not fair then it is fair to pay the guy more if he does it faster depending on the job cus sometimes if you does something a litle slower take your workd and deliver it to someone that then have to do work on it the slower eatch point in the cahain is the slower the total work is done,NOT
eat more carbs just eating the fruit you have bought will definitely not keep you vegan for long because you will be craving more fats and carbs pasta rice lentils etc love you trish so proud of you,NOT
im so glad trisha is going vegan,NOT
it is time for pray for vegan world,NOT
she looks like a rhino crossed with a toad hit in the face,ABU
did vox read the study they posted in their description the study states that  of the wage gap of mbas is a result of differences in mba courses taken and gpa differences in career interpretations and weekly hours worked that reduces the wage game to  a direct quote from the study fifteen years after obtaining their ba women who earned an mba had the lowest labor force participate rate the lowest share working full time and full year and took the greatest amount of noneducational time off from employment compared with others having professional degrees and phds vox if you want to discuss the wage gap and present your view on it then at least reference a source that supports your view and not one that opposes it,NOT
i would really like a way to find your sources please,NOT
we need more women lion tamers,NOT
how does overtime or overall hours worked play into this,NOT
liar liar pants on fire  the opposite is true check allan savory ted talk animals are building soil and saving the environment check garland farms the vegan death cult plant crops are killing the environment pesticides are needed and killing nature if you want to talk about the morel aspect killing and eating  cow a year is far less than the thousands of animals you indirectly kill for growing plants think about it,NOT
omg what a troll hahaha ok trish and i identity as a cardigan sweater ,NOT
so yesterday i was discussing this subject with my girlfriend and i explained all of this but even though she agreed she came up with an argument i found difficult to refute even if you consider same jobs same position working hours and total time working at a company companies ran by elder males tend to favor career ascension to men instead of women therefore making them earn more mainly because they still live in the past and as a man i have to say ive heard about these cases maybe they dont provide an overall big gender gap but they are a reality thoughts on this,NOT
the wage gap doesnt exist,NOT
your an idiot,ABU
well according to the bureau of labor women earn less than men in jobs female dominated male dominated and gender equal just saying,NOT
if you just identify as a male u arent trans bcs trans means that ur transitioning from like female to male or male to female so like in my opinion u just as u said u just identify as a male and arent trans so like why do u say i am transgender please tell me if i said something wrong cuz english aint my first language lol,NOT
this is so good girl yes  youre going to do great and feel so good,NOT
 wtf theres still a gap though,NOT
so i get why this video will offend peoplebut i thought the lbgt community was all about people exploring their identity yeah she might only be doing this for views but you cant assume other peoples motives shes just trying to explain her identity but i will admit that the title is not on,NOT
i swear this part of youtube is always entertaining,NOT
eat lots of beans potatoes rice pasta greens fruit and berries,NOT
alexa play the man by taylor swift,NOT
yey really cool that you want to try the vegan lifestyle hope you continue after these two weeks buy beans and rice thats a super good start cook beans and rice with vegetables so simple and cheap but soooo good ,NOT
no matter what the gap still exists at some extent its still an issue just not nearly as bad as some people make it look,NOT
cauliflower buffalo wings are actually really good xd,NOT
most women go to collegemost men dont go to college it take a lot to go to college then youre in debt,NOT
no offence to trisha but its so difficult to understand her to me this is almost her normal self because its happened so so many times,NOT
if a man makes k and a woman makes k thats not  less thats  less maybe the gap can be partly explained by men being better at arithmetic and english,NOT
we also saw how well that worked out on snapchat ,NOT
okay ill honest here i thought there was a gender gap in wages but never dug into the matter as im only a student yet and it wasnt a present issue for me i did suspect there was some bias in the mens one dollar womens  cents statement and im glad i found this video because it confirmed my suspect and changed my overall opinion on the whole gender wage gap matter ill dig into this more i just hope this video and her university are valid sources,NOT
if trish is going vegan i am too,NOT
is society trying to pretend that tomboys dont exist or have we simply forgotten people who say that they are nonbinary or insert obscure gender here are so weird because gender presentation  physical sex and personality  gender presentation theres nothing wrong with not being masculine or feminine but it seems as though people are just trying to gain oppression points by making up genders trans people people who are actually trans and not just transtrenders are valid because they have an actual health condition their transgenderness is vindicated by science but the trans community needs to practice gatekeeping any trans person needs to have doctoral proof that they have the medical condition,ABU
at least they got a woman to talk about this if they got a guy to do it the feminists would have swarmed this video like an fbi raid,NOT
i cant be the only one who notices that the only people who say the wage gap doesnt exist is men,NOT
as being a vegan you cant eat anything that deals with animals on land and sea  milk eggs or honey for breakfast you can have bagel with vegan cream cheese toast with jelly pancakes fruit smoothie tofu scramble with veggie sausage fruitfilled toaster pastry and for lunchdinner veggie burger or hot dog with fries mock lunchmeat sandwich with chips faux meat with baked or mashed potatoes and gravy vegetable stirfry with tempeh tofu or seitan falafel pita sandwich with hummus or tabouli peanut butter and jelly sandwich i have a lot of recipes you can try if you want to contact me,NOT
people dont have to understand for you to be valid i hope you dont take the ignorant comments on this video to heart much love and keep doing what makes you happy ,NOT
boys are boys girls are girls thats it in the pro sports world athletes get tested for all kinds of substances that give a person an advantage so why is it boys that claim to be girls be any different complete garbage,ABU
so proud of you go trisha yaaaas,NOT
good for you whether its  weeks or life its still something also your makeup is so pretty ,NOT
thanks plant based news  you guys are the best ,NOT
hey freelee i want to thank you for being the awesome person you are and helping to help me with my eating ways i am a  years old and i am a pescatarian i come from a meat eating family who already is skeptical about my eating ways i do so badly want to become a vegan but i dont think i would supported the only support i would probably get would be from youtube if you have any advice please help me,NOT
i wouldnt tell people to not watch those documentaries theyre eye opening im so glad youre going vegan even if its only for a couple weeks but remember that you can always find vegan alternatives for your favourite foods,NOT
i have to say im happy to see a middleleft leaning formerly very left leaning outlet like vox talking about what the actual controlled numbers say about the earnings gap instead of just parroting the woefully inadequate statistic women only make  on the dollar to men way to be more objective and take a deeper dive for the truth then many others ive seen,NOT
this makes me so happy i love you trish ,NOT
thank you but i have to lolz at the fact that they had to make a woman covered this story to prevent ppl from just screaming sexist pigs,NOT
you shouldnt be worried about over eating you really need to make sure you get all the vitamins and nutrients that youd normally get in dairy and meats such as proteins and vitamin b i recommend getting some nutoatsoya milk with no added sugar and also non dairy butter to make the diet easier also make lots of lentilpulse soups which are really yummy and filling good luck,NOT
this is ridiculous and really unfair to the other competitors just make an alltrans sports league or something,ABU
omg not another one,NOT
im a retired history teacher when we covered the modern feminist movement i would debunk the wage gap for my students later in the course i would have them pick a social issue facing women today describe the problem and propose a solution a significant percentage of them generally around  would write their paper on the wage gap,NOT
dont forget women that choose career over family are more likely to be depressed,NOT
this is just satisfying,NOT
omg trish yayayayayay ur so cuteeeeeee and omg omg omg tahnk thank uuuu uthank uuu uyaayayyaya,NOT
her video honestly was embarrassing these sorts of people really need to stop making such a joke of the lgbtq community these days its seriously just for attention for some people and its a slap in the face for people who have actually struggled with things like coming out and figuring yourself out which i have personally done go get help trisha jesus christ,ABU
